# LHCb B -> K (a ->) mu mu excluded-region boundary, GKOZ re-interpretation
# Extracted from arXiv:2310.03524v3 / LHCb-constraints.pdf (dark-blue solid contour)
# Date: 2026-07-10
# Source y axis is 2 v_h/f_GKOZ (v_h = 246 GeV); converted here to the
# BC10 package convention 1/f_BNT = 2/f_GKOZ, i.e. invf = y_source/246.
# The excluded region lies above each chain; chains are clipped at the
# source frame top (invf = 3.25e-3) and left edge (m_a = 0.3 GeV).
# Gaps along the top edge are the LHCb charmonium veto windows.
# Format: chains separated by blank line; each row is "mass_GeV  invf_GeV_inv"
# mass_GeV  invf_GeV_inv
# chain 0: 89 vertices
9.92942e-01  7.28403e-07
9.93959e-01  7.28403e-07
9.94918e-01  7.06344e-07
9.95935e-01  7.06344e-07
9.96951e-01  6.85051e-07
9.98938e-01  6.85051e-07
9.99955e-01  7.06344e-07
1.00093e+00  7.06344e-07
1.00194e+00  7.28403e-07
1.00295e+00  7.28403e-07
1.00392e+00  7.51043e-07
1.00493e+00  7.51043e-07
1.00595e+00  7.74498e-07
1.00794e+00  7.74498e-07
1.00895e+00  7.98724e-07
1.01195e+00  7.98724e-07
1.01292e+00  8.23510e-07
1.01495e+00  8.23510e-07
1.01993e+00  8.49269e-07
1.03092e+00  8.49269e-07
1.03193e+00  8.75667e-07
1.03295e+00  8.75667e-07
1.03392e+00  8.49269e-07
1.03691e+00  8.49269e-07
1.03793e+00  8.23510e-07
1.04093e+00  8.23510e-07
1.06193e+00  7.98724e-07
1.06294e+00  8.23510e-07
1.06493e+00  8.23510e-07
1.06595e+00  8.49269e-07
1.06691e+00  8.49269e-07
1.06792e+00  8.75667e-07
1.06991e+00  8.75667e-07
1.07093e+00  9.03014e-07
1.08394e+00  9.03014e-07
1.08491e+00  9.31259e-07
1.09192e+00  9.31259e-07
1.09294e+00  9.03014e-07
1.09391e+00  9.03014e-07
1.09492e+00  8.75667e-07
1.09594e+00  8.75667e-07
1.09691e+00  8.49269e-07
1.09793e+00  8.49269e-07
1.09893e+00  8.23510e-07
1.09990e+00  8.23510e-07
1.10092e+00  7.98724e-07
1.10194e+00  7.74498e-07
1.10291e+00  7.74498e-07
1.10392e+00  7.51043e-07
1.10692e+00  7.51043e-07
1.10793e+00  7.74498e-07
1.11191e+00  7.74498e-07
1.11292e+00  7.98724e-07
1.11693e+00  7.98724e-07
1.11790e+00  8.23510e-07
1.12390e+00  8.23510e-07
1.12492e+00  7.98724e-07
1.13290e+00  7.98724e-07
1.13392e+00  7.74498e-07
1.14393e+00  7.74498e-07
1.14490e+00  7.98724e-07
1.17392e+00  7.98724e-07
1.17489e+00  7.74498e-07
1.17693e+00  7.74498e-07
1.17790e+00  7.51043e-07
1.17992e+00  7.51043e-07
1.18089e+00  7.28403e-07
1.18689e+00  7.28403e-07
1.18790e+00  7.51043e-07
1.20992e+00  7.51043e-07
1.21088e+00  7.28403e-07
1.22192e+00  7.28403e-07
1.22289e+00  7.51043e-07
1.23092e+00  7.51043e-07
1.23189e+00  7.74498e-07
1.23488e+00  7.74498e-07
1.23590e+00  7.98724e-07
1.23890e+00  7.98724e-07
1.23992e+00  8.23510e-07
1.24388e+00  8.23510e-07
1.24490e+00  8.49269e-07
1.24892e+00  8.49269e-07
1.24989e+00  8.23510e-07
1.27388e+00  8.23510e-07
1.27489e+00  7.98724e-07
1.28689e+00  7.98724e-07
1.28791e+00  7.74498e-07
1.29990e+00  7.74498e-07
1.30092e+00  7.51043e-07
1.31389e+00  7.51043e-07
1.31490e+00  7.28403e-07
1.32690e+00  7.28403e-07
1.32792e+00  7.51043e-07
1.33692e+00  7.51043e-07
1.33789e+00  7.74498e-07
1.33889e+00  7.74498e-07
1.33991e+00  7.51043e-07
1.36391e+00  7.51043e-07
1.36488e+00  7.28403e-07
1.38089e+00  7.28403e-07
1.38191e+00  7.51043e-07
1.39188e+00  7.51043e-07
1.39289e+00  7.74498e-07
1.40387e+00  7.74498e-07
1.40489e+00  7.98724e-07
1.41587e+00  7.98724e-07
1.41689e+00  8.23510e-07
1.43290e+00  8.23510e-07
1.43387e+00  7.98724e-07
1.44388e+00  7.98724e-07
1.44489e+00  7.74498e-07
1.48287e+00  7.74498e-07
1.48389e+00  7.98724e-07
1.48786e+00  7.98724e-07
1.48888e+00  8.23510e-07
1.49289e+00  8.23510e-07
1.49386e+00  8.49269e-07
1.49686e+00  8.49269e-07
1.49788e+00  8.23510e-07
1.50387e+00  8.23510e-07
1.50489e+00  7.98724e-07
1.51089e+00  7.98724e-07
1.51186e+00  7.74498e-07
1.52385e+00  7.74498e-07
1.52487e+00  7.51043e-07
1.56987e+00  7.51043e-07
1.57087e+00  7.74498e-07
1.58186e+00  7.74498e-07
1.58287e+00  7.98724e-07
1.59884e+00  7.98724e-07
1.59986e+00  7.74498e-07
1.62985e+00  7.74498e-07
1.63087e+00  7.98724e-07
1.64286e+00  7.98724e-07
1.64383e+00  8.23510e-07
1.64485e+00  8.23510e-07
1.64586e+00  7.98724e-07
1.64984e+00  7.98724e-07
1.65084e+00  7.74498e-07
1.65385e+00  7.74498e-07
1.65486e+00  7.51043e-07
1.65583e+00  7.74498e-07
1.66183e+00  7.74498e-07
1.66285e+00  7.98724e-07
1.67383e+00  7.98724e-07
1.67484e+00  7.74498e-07
1.67886e+00  7.74498e-07
1.67983e+00  7.51043e-07
1.68485e+00  7.51043e-07
1.68583e+00  7.28403e-07
1.69182e+00  7.28403e-07
1.69284e+00  7.06344e-07
1.70585e+00  7.06344e-07
1.70682e+00  6.85051e-07
1.70783e+00  7.06344e-07
1.70982e+00  7.06344e-07
