# FLArE HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# FLArE and FASER2 contours overlap to within line width across
# most of the mass range; values are co-located with FASER2_Umu.dat.
# mass_GeV  u2_min  u2_max
1.7840  3.093e-08  1.315e-03
1.7860  3.156e-08  1.271e-03
1.7880  3.156e-08  1.271e-03
1.7900  3.216e-08  1.227e-03
1.7920  3.216e-08  1.227e-03
1.7940  3.216e-08  1.227e-03
1.7960  3.271e-08  1.185e-03
1.7980  3.271e-08  1.185e-03
1.8000  3.327e-08  1.146e-03
1.8020  3.327e-08  1.146e-03
1.8040  3.327e-08  1.146e-03
1.8060  3.375e-08  1.107e-03
1.8080  3.375e-08  1.107e-03
1.8100  3.449e-08  1.070e-03
1.8120  3.449e-08  1.070e-03
1.8140  3.449e-08  1.070e-03
1.8160  3.538e-08  1.032e-03
1.8167  3.538e-08  1.032e-03
1.8180  3.538e-08  1.032e-03
1.8200  3.631e-08  9.926e-04
1.8220  3.631e-08  9.926e-04
1.8240  3.631e-08  9.926e-04
1.8260  3.709e-08  9.469e-04
1.8280  3.709e-08  9.469e-04
1.8300  3.779e-08  9.053e-04
1.8320  3.779e-08  9.053e-04
1.8340  3.779e-08  9.053e-04
1.8360  3.865e-08  8.733e-04
1.8380  3.865e-08  8.733e-04
1.8400  3.964e-08  8.488e-04
1.8420  3.964e-08  8.488e-04
1.8440  3.964e-08  8.488e-04
1.8460  4.089e-08  8.341e-04
1.8480  4.089e-08  8.341e-04
1.8500  4.217e-08  8.153e-04
1.8516  4.217e-08  8.153e-04
1.8520  4.217e-08  8.153e-04
1.8540  4.217e-08  8.153e-04
1.8560  4.422e-08  7.946e-04
1.8580  4.422e-08  7.946e-04
1.8600  4.422e-08  7.946e-04
1.8620  4.652e-08  7.652e-04
1.8640  4.652e-08  7.652e-04
1.8660  4.858e-08  7.322e-04
1.8680  4.858e-08  7.322e-04
1.8700  4.858e-08  7.322e-04
1.8720  5.042e-08  6.989e-04
1.8740  5.042e-08  6.989e-04
1.8760  5.231e-08  6.687e-04
1.8780  5.231e-08  6.687e-04
1.8800  5.231e-08  6.687e-04
1.8820  5.447e-08  6.441e-04
1.8840  5.447e-08  6.441e-04
1.8860  5.447e-08  6.441e-04
1.8873  5.658e-08  6.204e-04
1.8880  5.658e-08  6.204e-04
1.8900  5.658e-08  6.204e-04
1.8920  5.863e-08  5.989e-04
1.8940  5.863e-08  5.989e-04
1.8960  5.863e-08  5.989e-04
1.8980  6.030e-08  5.758e-04
1.9000  6.030e-08  5.758e-04
1.9020  6.030e-08  5.758e-04
1.9040  6.196e-08  5.550e-04
1.9060  6.196e-08  5.550e-04
1.9080  6.347e-08  5.397e-04
1.9100  6.347e-08  5.397e-04
1.9120  6.347e-08  5.397e-04
1.9140  6.512e-08  5.236e-04
1.9160  6.512e-08  5.236e-04
1.9180  6.512e-08  5.236e-04
1.9200  6.765e-08  5.080e-04
1.9220  6.765e-08  5.080e-04
1.9237  7.028e-08  4.931e-04
1.9240  7.028e-08  4.931e-04
1.9260  7.028e-08  4.931e-04
1.9280  7.028e-08  4.931e-04
1.9300  7.352e-08  4.764e-04
1.9320  7.352e-08  4.764e-04
1.9340  7.352e-08  4.764e-04
1.9360  7.643e-08  4.576e-04
1.9380  7.643e-08  4.576e-04
1.9400  7.920e-08  4.378e-04
1.9420  7.920e-08  4.378e-04
1.9440  7.920e-08  4.378e-04
1.9460  8.167e-08  4.162e-04
1.9480  8.167e-08  4.162e-04
1.9500  8.167e-08  4.162e-04
1.9520  8.422e-08  3.984e-04
1.9540  8.422e-08  3.984e-04
1.9560  8.685e-08  3.844e-04
1.9580  8.685e-08  3.844e-04
1.9600  8.685e-08  3.844e-04
1.9607  8.685e-08  3.844e-04
1.9620  8.972e-08  3.733e-04
1.9640  8.972e-08  3.733e-04
1.9660  8.972e-08  3.733e-04
1.9680  9.248e-08  3.637e-04
1.9700  9.248e-08  3.637e-04
1.9720  9.248e-08  3.637e-04
1.9740  9.518e-08  3.550e-04
1.9760  9.518e-08  3.550e-04
1.9780  9.775e-08  3.463e-04
1.9800  9.775e-08  3.463e-04
1.9820  9.775e-08  3.463e-04
1.9840  1.000e-07  3.387e-04
1.9860  1.000e-07  3.387e-04
1.9880  1.000e-07  3.387e-04
1.9900  1.019e-07  3.289e-04
1.9920  1.019e-07  3.289e-04
1.9940  1.019e-07  3.289e-04
1.9960  1.033e-07  3.165e-04
1.9980  1.033e-07  3.165e-04
1.9985  1.033e-07  3.165e-04
2.0000  1.049e-07  3.054e-04
2.0370  1.192e-07  2.441e-04
2.0762  1.327e-07  2.061e-04
2.1162  1.383e-07  1.663e-04
2.1569  1.414e-07  1.422e-04
2.1985  1.414e-07  1.255e-04
2.2408  1.414e-07  1.048e-04
2.2840  1.489e-07  9.164e-05
2.3279  1.576e-07  7.655e-05
2.3728  1.586e-07  6.671e-05
2.4185  1.639e-07  5.575e-05
2.4651  1.766e-07  4.733e-05
2.5125  1.888e-07  4.031e-05
2.5609  2.061e-07  3.402e-05
2.6103  2.212e-07  2.773e-05
2.6605  2.419e-07  2.337e-05
2.7118  2.948e-07  1.821e-05
2.7640  3.191e-07  1.503e-05
2.8172  3.928e-07  1.156e-05
2.8715  4.626e-07  9.268e-06
2.9268  1.996e-06  2.235e-06
2.9831  1.996e-06  2.092e-06
3.0406  1.996e-06  2.031e-06
3.0992  1.963e-06  1.963e-06
3.1588  1.915e-06  1.915e-06
3.2197  1.894e-06  1.894e-06
3.2817  1.889e-06  1.889e-06
3.3449  1.842e-06  1.842e-06
