# FASER2 HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# FASER2 and FLArE contours overlap to within line width across
# most of the mass range; values are co-located with FLArE_Umu.dat.
# mass_GeV  u2_min  u2_max
1.6260  1.673e-08  3.235e-03
1.6280  1.684e-08  3.125e-03
1.6300  1.684e-08  3.125e-03
1.6320  1.697e-08  3.016e-03
1.6340  1.697e-08  3.016e-03
1.6360  1.697e-08  3.016e-03
1.6380  1.713e-08  2.915e-03
1.6400  1.713e-08  2.915e-03
1.6420  1.731e-08  2.825e-03
1.6440  1.731e-08  2.825e-03
1.6460  1.748e-08  2.749e-03
1.6480  1.748e-08  2.749e-03
1.6500  1.748e-08  2.749e-03
1.6514  1.766e-08  2.688e-03
1.6520  1.766e-08  2.688e-03
1.6540  1.766e-08  2.688e-03
1.6560  1.783e-08  2.632e-03
1.6580  1.783e-08  2.632e-03
1.6600  1.806e-08  2.594e-03
1.6620  1.806e-08  2.594e-03
1.6640  1.806e-08  2.594e-03
1.6660  1.830e-08  2.572e-03
1.6680  1.830e-08  2.572e-03
1.6700  1.854e-08  2.557e-03
1.6720  1.854e-08  2.557e-03
1.6740  1.878e-08  2.557e-03
1.6760  1.878e-08  2.557e-03
1.6780  1.878e-08  2.557e-03
1.6800  1.902e-08  2.548e-03
1.6820  1.902e-08  2.548e-03
1.6832  1.925e-08  2.536e-03
1.6840  1.925e-08  2.536e-03
1.6860  1.925e-08  2.536e-03
1.6880  1.946e-08  2.505e-03
1.6900  1.946e-08  2.505e-03
1.6920  1.946e-08  2.505e-03
1.6940  1.967e-08  2.436e-03
1.6960  1.967e-08  2.436e-03
1.6980  1.986e-08  2.354e-03
1.7000  1.986e-08  2.354e-03
1.7020  2.003e-08  2.264e-03
1.7040  2.003e-08  2.264e-03
1.7060  2.003e-08  2.264e-03
1.7080  2.036e-08  2.168e-03
1.7100  2.036e-08  2.168e-03
1.7120  2.077e-08  2.076e-03
1.7140  2.077e-08  2.076e-03
1.7156  2.077e-08  2.076e-03
1.7160  2.127e-08  2.003e-03
1.7180  2.127e-08  2.003e-03
1.7200  2.127e-08  2.003e-03
1.7220  2.193e-08  1.939e-03
1.7240  2.193e-08  1.939e-03
1.7260  2.257e-08  1.874e-03
1.7280  2.257e-08  1.874e-03
1.7300  2.257e-08  1.874e-03
1.7320  2.312e-08  1.812e-03
1.7340  2.312e-08  1.812e-03
1.7360  2.360e-08  1.757e-03
1.7380  2.360e-08  1.757e-03
1.7400  2.399e-08  1.721e-03
1.7420  2.399e-08  1.721e-03
1.7440  2.399e-08  1.721e-03
1.7460  2.425e-08  1.699e-03
1.7480  2.425e-08  1.699e-03
1.7487  2.425e-08  1.699e-03
1.7500  2.470e-08  1.678e-03
1.7520  2.470e-08  1.678e-03
1.7540  2.470e-08  1.678e-03
1.7560  2.520e-08  1.656e-03
1.7580  2.520e-08  1.656e-03
1.7600  2.572e-08  1.611e-03
1.7620  2.572e-08  1.611e-03
1.7640  2.572e-08  1.611e-03
1.7660  2.630e-08  1.543e-03
1.7680  2.630e-08  1.543e-03
1.7700  2.686e-08  1.467e-03
1.7720  2.686e-08  1.467e-03
1.7740  2.686e-08  1.467e-03
1.7760  2.744e-08  1.383e-03
1.7780  2.744e-08  1.383e-03
1.7800  2.804e-08  1.307e-03
1.7820  2.804e-08  1.307e-03
1.7823  2.804e-08  1.307e-03
1.7840  2.804e-08  1.307e-03
1.7860  2.873e-08  1.241e-03
1.7880  2.873e-08  1.241e-03
1.7900  2.956e-08  1.184e-03
1.7920  2.956e-08  1.184e-03
1.7940  2.956e-08  1.184e-03
1.7960  3.051e-08  1.134e-03
1.7980  3.051e-08  1.134e-03
1.8000  3.153e-08  1.085e-03
1.8020  3.153e-08  1.085e-03
1.8040  3.153e-08  1.085e-03
1.8060  3.262e-08  1.041e-03
1.8080  3.262e-08  1.041e-03
1.8100  3.378e-08  1.001e-03
1.8120  3.378e-08  1.001e-03
1.8140  3.378e-08  1.001e-03
1.8160  3.486e-08  9.701e-04
1.8167  3.486e-08  9.701e-04
1.8180  3.486e-08  9.701e-04
1.8200  3.594e-08  9.457e-04
1.8220  3.594e-08  9.457e-04
1.8240  3.594e-08  9.457e-04
1.8260  3.699e-08  9.257e-04
1.8280  3.699e-08  9.257e-04
1.8300  3.821e-08  9.076e-04
1.8320  3.821e-08  9.076e-04
1.8340  3.821e-08  9.076e-04
1.8360  3.949e-08  8.911e-04
1.8380  3.949e-08  8.911e-04
1.8400  4.090e-08  8.669e-04
1.8420  4.090e-08  8.669e-04
1.8440  4.090e-08  8.669e-04
1.8460  4.227e-08  8.338e-04
1.8480  4.227e-08  8.338e-04
1.8500  4.367e-08  7.990e-04
1.8516  4.367e-08  7.990e-04
1.8520  4.367e-08  7.990e-04
1.8540  4.367e-08  7.990e-04
1.8560  4.482e-08  7.629e-04
1.8580  4.482e-08  7.629e-04
1.8600  4.482e-08  7.629e-04
1.8620  4.608e-08  7.281e-04
1.8640  4.608e-08  7.281e-04
1.8660  4.721e-08  6.981e-04
1.8680  4.721e-08  6.981e-04
1.8700  4.721e-08  6.981e-04
1.8720  4.870e-08  6.726e-04
1.8740  4.870e-08  6.726e-04
1.8760  5.058e-08  6.496e-04
1.8780  5.058e-08  6.496e-04
1.8800  5.058e-08  6.496e-04
1.8820  5.268e-08  6.239e-04
1.8840  5.268e-08  6.239e-04
1.8860  5.268e-08  6.239e-04
1.8873  5.504e-08  5.980e-04
1.8880  5.504e-08  5.980e-04
1.8900  5.504e-08  5.980e-04
1.8920  5.756e-08  5.752e-04
1.8940  5.756e-08  5.752e-04
1.8960  5.756e-08  5.752e-04
1.8980  6.008e-08  5.579e-04
1.9000  6.008e-08  5.579e-04
1.9020  6.008e-08  5.579e-04
1.9040  6.249e-08  5.418e-04
1.9060  6.249e-08  5.418e-04
1.9080  6.511e-08  5.278e-04
1.9100  6.511e-08  5.278e-04
