# SHiP BC4 dark-scalar sensitivity
# PUBLISHED SOURCE (cite this): arXiv:2310.17726 (PBC, Post-LS3 Options in
# ECN3), Fig 9-PhysicsPotential/BC4.pdf, red SHiP curve.
# Traced from the identical, cleaner two-colour rendering in
# arXiv:2504.06692 figs/BC4.pdf (SHiP source figure, commented out of the
# published PDF); verified to overlay the 2310.17726 SHiP contour.
# Date: 2026-07-11
# Source y axis is theta^2 (= sin^2 theta at these mixings).
# Clipped to the figure frame m_S in [0.1, 5.5] GeV.
# Format: chains separated by blank line; each row "mass_GeV  sin2theta"
# chain: 627 vertices
9.257715e-01  4.936193e-12
9.150995e-01  5.319911e-12
9.066973e-01  5.654273e-12
9.041369e-01  5.752210e-12
9.010289e-01  5.881393e-12
8.913315e-01  6.151166e-12
8.790217e-01  6.494763e-12
8.775972e-01  6.536372e-12
8.764812e-01  6.568924e-12
8.675889e-01  6.836661e-12
8.640675e-01  6.945220e-12
8.525808e-01  7.319132e-12
8.507250e-01  7.380153e-12
8.479980e-01  7.460189e-12
8.362589e-01  7.776941e-12
8.293322e-01  7.975895e-12
8.287943e-01  7.995731e-12
8.219841e-01  8.195063e-12
8.179603e-01  8.316326e-12
8.098436e-01  8.569123e-12
8.079196e-01  8.633813e-12
8.067443e-01  8.669429e-12
8.020611e-01  8.822093e-12
7.933825e-01  9.055488e-12
7.847392e-01  9.271356e-12
7.782393e-01  9.442653e-12
7.635120e-01  9.842896e-12
7.633405e-01  9.845689e-12
7.632644e-01  9.848483e-12
7.488017e-01  1.026664e-11
7.425500e-01  1.045632e-11
7.345338e-01  1.070862e-11
7.269366e-01  1.095147e-11
7.223018e-01  1.110483e-11
7.204958e-01  1.116647e-11
7.163190e-01  1.130680e-11
7.067260e-01  1.164389e-11
7.026000e-01  1.179274e-11
6.933059e-01  1.209100e-11
6.928102e-01  1.210473e-11
6.834638e-01  1.239946e-11
6.787956e-01  1.254816e-11
6.656457e-01  1.299120e-11
6.650424e-01  1.300874e-11
6.648267e-01  1.301981e-11
6.643514e-01  1.303369e-11
6.515896e-01  1.349005e-11
6.466979e-01  1.367026e-11
6.400091e-01  1.392283e-11
6.384089e-01  1.398520e-11
6.366696e-01  1.405086e-11
6.290792e-01  1.435012e-11
6.254740e-01  1.449752e-11
