# ANUBIS HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# mass_GeV  u2_min  u2_max
1.1940  1.570e-06  1.682e-02
1.1964  1.560e-06  1.662e-02
1.2139  1.486e-06  1.521e-02
1.2170  1.474e-06  1.498e-02
1.2405  1.383e-06  1.332e-02
1.2643  1.299e-06  1.186e-02
1.2887  1.219e-06  1.055e-02
1.3000  1.184e-06  1.000e-02
1.3135  1.144e-06  9.383e-03
1.3388  1.074e-06  8.344e-03
1.3646  1.008e-06  7.419e-03
1.3680  1.000e-06  7.307e-03
1.3909  9.473e-07  6.597e-03
1.3917  9.454e-07  6.572e-03
1.4177  8.901e-07  5.863e-03
1.4450  8.364e-07  5.210e-03
1.4728  7.860e-07  4.629e-03
1.4894  7.577e-07  4.318e-03
1.5011  7.385e-07  4.113e-03
1.5301  6.940e-07  3.652e-03
1.5595  6.521e-07  3.243e-03
1.5714  6.362e-07  3.094e-03
1.5896  6.131e-07  2.880e-03
1.5934  6.083e-07  2.837e-03
1.6000  6.003e-07  2.765e-03
1.6020  5.979e-07  2.743e-03
1.6040  5.955e-07  2.722e-03
1.6060  5.932e-07  2.701e-03
1.6080  5.908e-07  2.680e-03
1.6100  5.884e-07  2.659e-03
1.6120  5.861e-07  2.638e-03
1.6140  5.838e-07  2.618e-03
1.6160  5.815e-07  2.598e-03
1.6180  5.792e-07  2.578e-03
1.6200  5.769e-07  2.558e-03
1.6202  5.767e-07  2.556e-03
1.6220  5.746e-07  2.538e-03
1.6240  5.723e-07  2.519e-03
1.6260  5.701e-07  2.499e-03
1.6280  5.678e-07  2.480e-03
1.6300  5.656e-07  2.461e-03
1.6320  5.633e-07  2.442e-03
1.6340  5.611e-07  2.424e-03
1.6360  5.589e-07  2.405e-03
1.6380  5.567e-07  2.387e-03
1.6400  5.546e-07  2.369e-03
1.6420  5.524e-07  2.351e-03
1.6440  5.502e-07  2.333e-03
1.6460  5.481e-07  2.315e-03
1.6480  5.460e-07  2.298e-03
1.6500  5.438e-07  2.280e-03
1.6514  5.424e-07  2.268e-03
1.6520  5.417e-07  2.263e-03
1.6540  5.396e-07  2.246e-03
1.6560  5.375e-07  2.229e-03
1.6580  5.355e-07  2.212e-03
1.6600  5.334e-07  2.196e-03
1.6620  5.313e-07  2.179e-03
1.6640  5.293e-07  2.163e-03
1.6660  5.272e-07  2.147e-03
1.6680  5.252e-07  2.131e-03
1.6700  5.232e-07  2.115e-03
1.6720  5.212e-07  2.099e-03
1.6740  5.192e-07  2.083e-03
1.6760  5.172e-07  2.068e-03
1.6780  5.152e-07  2.052e-03
1.6800  5.133e-07  2.037e-03
1.6820  5.113e-07  2.022e-03
1.6832  5.101e-07  2.013e-03
1.6840  5.094e-07  2.007e-03
1.6860  5.074e-07  1.992e-03
1.6880  5.055e-07  1.977e-03
1.6900  5.036e-07  1.963e-03
1.6920  5.017e-07  1.948e-03
1.6940  4.998e-07  1.934e-03
1.6960  4.979e-07  1.920e-03
1.6980  4.960e-07  1.906e-03
1.7000  4.941e-07  1.892e-03
1.7020  4.923e-07  1.878e-03
1.7040  4.904e-07  1.864e-03
1.7041  4.903e-07  1.863e-03
1.7060  4.886e-07  1.850e-03
1.7080  4.867e-07  1.837e-03
1.7100  4.849e-07  1.823e-03
1.7120  4.831e-07  1.810e-03
1.7140  4.813e-07  1.796e-03
1.7156  4.798e-07  1.786e-03
1.7160  4.795e-07  1.783e-03
1.7180  4.777e-07  1.770e-03
1.7200  4.759e-07  1.757e-03
1.7220  4.741e-07  1.745e-03
1.7240  4.724e-07  1.732e-03
1.7260  4.706e-07  1.719e-03
1.7280  4.689e-07  1.707e-03
1.7300  4.671e-07  1.694e-03
1.7320  4.654e-07  1.682e-03
1.7340  4.637e-07  1.670e-03
1.7360  4.619e-07  1.658e-03
1.7380  4.602e-07  1.646e-03
1.7400  4.585e-07  1.634e-03
1.7420  4.569e-07  1.622e-03
1.7440  4.552e-07  1.611e-03
1.7460  4.535e-07  1.599e-03
1.7480  4.518e-07  1.588e-03
1.7487  4.513e-07  1.584e-03
1.7500  4.502e-07  1.576e-03
1.7520  4.485e-07  1.565e-03
1.7540  4.469e-07  1.554e-03
1.7560  4.453e-07  1.543e-03
1.7580  4.436e-07  1.532e-03
1.7600  4.420e-07  1.521e-03
1.7620  4.404e-07  1.510e-03
1.7640  4.388e-07  1.499e-03
1.7660  4.372e-07  1.488e-03
1.7680  4.356e-07  1.478e-03
1.7700  4.340e-07  1.467e-03
1.7720  4.325e-07  1.457e-03
1.7740  4.309e-07  1.447e-03
1.7760  4.294e-07  1.436e-03
1.7780  4.278e-07  1.426e-03
1.7800  4.263e-07  1.416e-03
1.7820  4.247e-07  1.406e-03
1.7823  4.245e-07  1.405e-03
1.7840  4.232e-07  1.396e-03
1.7860  4.217e-07  1.386e-03
1.7880  4.202e-07  1.377e-03
1.7900  4.187e-07  1.367e-03
1.7920  4.172e-07  1.358e-03
1.7940  4.157e-07  1.348e-03
1.7960  4.142e-07  1.339e-03
1.7980  4.127e-07  1.329e-03
1.8000  4.112e-07  1.320e-03
1.8020  4.098e-07  1.311e-03
1.8040  4.083e-07  1.302e-03
1.8060  4.069e-07  1.293e-03
1.8080  4.054e-07  1.284e-03
1.8100  4.040e-07  1.275e-03
1.8120  4.025e-07  1.266e-03
1.8132  4.017e-07  1.260e-03
1.8140  4.011e-07  1.257e-03
1.8160  3.997e-07  1.248e-03
1.8167  3.993e-07  1.246e-03
1.8180  3.983e-07  1.240e-03
1.8200  3.970e-07  1.231e-03
1.8218  3.957e-07  1.224e-03
1.8220  3.956e-07  1.223e-03
1.8240  3.942e-07  1.214e-03
1.8260  3.929e-07  1.206e-03
1.8280  3.915e-07  1.198e-03
1.8300  3.901e-07  1.189e-03
1.8320  3.888e-07  1.181e-03
1.8340  3.875e-07  1.173e-03
1.8360  3.861e-07  1.165e-03
1.8380  3.848e-07  1.157e-03
1.8400  3.835e-07  1.149e-03
1.8420  3.822e-07  1.141e-03
1.8440  3.808e-07  1.133e-03
1.8460  3.795e-07  1.126e-03
1.8480  3.782e-07  1.118e-03
1.8500  3.769e-07  1.110e-03
1.8516  3.759e-07  1.104e-03
1.8520  3.757e-07  1.103e-03
1.8540  3.744e-07  1.095e-03
1.8560  3.731e-07  1.088e-03
1.8580  3.718e-07  1.080e-03
1.8600  3.706e-07  1.073e-03
1.8620  3.693e-07  1.066e-03
1.8640  3.681e-07  1.059e-03
1.8660  3.668e-07  1.051e-03
1.8680  3.656e-07  1.044e-03
1.8700  3.643e-07  1.037e-03
1.8720  3.631e-07  1.030e-03
1.8740  3.619e-07  1.023e-03
1.8760  3.607e-07  1.016e-03
1.8780  3.594e-07  1.010e-03
1.8800  3.582e-07  1.003e-03
1.8820  3.570e-07  9.960e-04
1.8840  3.558e-07  9.894e-04
1.8860  3.546e-07  9.827e-04
1.8873  3.539e-07  9.785e-04
1.8880  3.535e-07  9.762e-04
1.8900  3.523e-07  9.696e-04
1.8920  3.511e-07  9.632e-04
1.8940  3.499e-07  9.568e-04
1.8960  3.488e-07  9.504e-04
1.8980  3.476e-07  9.441e-04
1.9000  3.464e-07  9.378e-04
1.9020  3.453e-07  9.316e-04
1.9040  3.441e-07  9.254e-04
1.9060  3.430e-07  9.193e-04
1.9080  3.419e-07  9.132e-04
1.9100  3.407e-07  9.071e-04
1.9120  3.396e-07  9.012e-04
1.9140  3.385e-07  8.952e-04
1.9160  3.374e-07  8.893e-04
1.9180  3.363e-07  8.835e-04
1.9200  3.351e-07  8.777e-04
1.9220  3.340e-07  8.719e-04
1.9237  3.331e-07  8.672e-04
1.9240  3.329e-07  8.662e-04
1.9260  3.319e-07  8.605e-04
1.9280  3.308e-07  8.549e-04
1.9300  3.297e-07  8.493e-04
1.9320  3.286e-07  8.437e-04
1.9340  3.275e-07  8.382e-04
1.9360  3.265e-07  8.327e-04
1.9380  3.254e-07  8.273e-04
1.9400  3.243e-07  8.219e-04
1.9420  3.233e-07  8.166e-04
1.9440  3.222e-07  8.113e-04
1.9460  3.212e-07  8.060e-04
1.9469  3.207e-07  8.036e-04
1.9480  3.201e-07  8.008e-04
1.9500  3.191e-07  7.956e-04
1.9520  3.181e-07  7.904e-04
1.9540  3.170e-07  7.853e-04
1.9560  3.160e-07  7.802e-04
1.9580  3.150e-07  7.752e-04
1.9600  3.140e-07  7.702e-04
1.9607  3.136e-07  7.684e-04
1.9620  3.130e-07  7.652e-04
1.9640  3.120e-07  7.603e-04
1.9660  3.110e-07  7.554e-04
1.9680  3.100e-07  7.505e-04
1.9700  3.090e-07  7.457e-04
1.9720  3.080e-07  7.409e-04
1.9740  3.070e-07  7.361e-04
1.9760  3.060e-07  7.314e-04
1.9780  3.050e-07  7.267e-04
1.9800  3.040e-07  7.221e-04
1.9820  3.031e-07  7.175e-04
1.9840  3.021e-07  7.129e-04
1.9860  3.011e-07  7.083e-04
1.9880  3.002e-07  7.038e-04
1.9900  2.992e-07  6.993e-04
1.9920  2.983e-07  6.949e-04
1.9940  2.973e-07  6.905e-04
1.9960  2.964e-07  6.861e-04
1.9980  2.955e-07  6.817e-04
1.9985  2.952e-07  6.807e-04
2.0000  2.945e-07  6.774e-04
2.0370  2.779e-07  6.031e-04
2.0762  2.617e-07  5.343e-04
2.0798  2.602e-07  5.283e-04
2.1019  2.517e-07  4.940e-04
2.1162  2.464e-07  4.732e-04
2.1569  2.322e-07  4.190e-04
2.1985  2.188e-07  3.711e-04
2.2210  2.119e-07  3.478e-04
2.2408  2.061e-07  3.286e-04
2.2840  1.942e-07  2.909e-04
2.3279  1.830e-07  2.575e-04
2.3707  1.729e-07  2.293e-04
2.3728  1.724e-07  2.280e-04
2.4185  1.624e-07  2.017e-04
2.4477  1.565e-07  1.868e-04
2.4651  1.531e-07  1.785e-04
2.5125  1.444e-07  1.580e-04
2.5295  1.414e-07  1.513e-04
2.5609  1.361e-07  1.398e-04
2.6103  1.284e-07  1.237e-04
2.6605  1.211e-07  1.094e-04
2.6979  1.160e-07  1.000e-04
2.7118  1.142e-07  9.676e-05
2.7640  1.076e-07  8.557e-05
2.8172  1.015e-07  7.567e-05
2.8633  9.655e-08  6.815e-05
2.8715  9.572e-08  6.691e-05
2.8764  9.522e-08  6.617e-05
2.9268  9.033e-08  5.915e-05
2.9831  8.523e-08  5.229e-05
3.0406  8.043e-08  4.622e-05
3.0655  7.846e-08  4.385e-05
3.0992  7.589e-08  4.085e-05
3.1588  7.161e-08  3.610e-05
3.2197  6.757e-08  3.190e-05
3.2657  6.472e-08  2.909e-05
3.2817  6.376e-08  2.818e-05
3.3449  6.017e-08  2.489e-05
3.3570  5.951e-08  2.431e-05
3.4093  5.679e-08  2.199e-05
3.4750  5.360e-08  1.942e-05
3.4776  5.348e-08  1.933e-05
3.5419  5.059e-08  1.715e-05
3.6101  4.774e-08  1.514e-05
3.6796  4.506e-08  1.337e-05
3.7017  4.425e-08  1.286e-05
3.7505  4.253e-08  1.179e-05
3.8227  4.014e-08  1.040e-05
3.8892  3.810e-08  9.284e-06
3.8964  3.789e-08  9.171e-06
3.9377  3.670e-08  8.554e-06
3.9714  3.577e-08  8.063e-06
4.0479  3.377e-08  7.063e-06
4.1258  3.188e-08  6.187e-06
4.1797  3.065e-08  5.654e-06
4.2053  3.009e-08  5.405e-06
4.2863  2.841e-08  4.696e-06
4.3689  2.682e-08  4.080e-06
4.4257  2.579e-08  3.709e-06
4.4418  2.551e-08  3.605e-06
4.4530  2.532e-08  3.534e-06
4.5388  2.390e-08  3.043e-06
4.6262  2.257e-08  2.621e-06
4.6747  2.187e-08  2.415e-06
4.7153  2.131e-08  2.247e-06
4.8000  2.020e-08  1.936e-06
4.8050  2.014e-08  1.919e-06
4.8061  2.012e-08  1.916e-06
4.8100  2.007e-08  1.903e-06
4.8150  2.001e-08  1.886e-06
4.8200  1.995e-08  1.870e-06
4.8250  1.989e-08  1.854e-06
4.8300  1.983e-08  1.838e-06
4.8350  1.976e-08  1.822e-06
4.8400  1.970e-08  1.806e-06
4.8450  1.964e-08  1.791e-06
4.8500  1.958e-08  1.775e-06
4.8550  1.952e-08  1.760e-06
4.8600  1.946e-08  1.745e-06
4.8650  1.940e-08  1.730e-06
4.8700  1.934e-08  1.715e-06
4.8750  1.928e-08  1.701e-06
4.8800  1.922e-08  1.686e-06
4.8850  1.916e-08  1.672e-06
4.8900  1.910e-08  1.658e-06
4.8950  1.904e-08  1.644e-06
4.8986  1.900e-08  1.633e-06
4.9000  1.899e-08  1.630e-06
4.9050  1.893e-08  1.616e-06
4.9100  1.887e-08  1.602e-06
4.9150  1.881e-08  1.589e-06
4.9200  1.876e-08  1.575e-06
4.9250  1.870e-08  1.562e-06
4.9257  1.869e-08  1.560e-06
4.9300  1.864e-08  1.548e-06
4.9350  1.858e-08  1.534e-06
4.9400  1.853e-08  1.520e-06
4.9450  1.847e-08  1.507e-06
4.9500  1.842e-08  1.493e-06
4.9550  1.836e-08  1.480e-06
4.9600  1.830e-08  1.466e-06
4.9650  1.825e-08  1.453e-06
4.9700  1.819e-08  1.440e-06
4.9750  1.814e-08  1.427e-06
4.9800  1.808e-08  1.415e-06
4.9850  1.803e-08  1.402e-06
4.9900  1.797e-08  1.390e-06
4.9930  1.794e-08  1.382e-06
4.9950  1.792e-08  1.377e-06
5.0000  1.787e-08  1.365e-06
5.0012  1.785e-08  1.362e-06
5.0050  1.781e-08  1.353e-06
5.0100  1.776e-08  1.341e-06
5.0150  1.771e-08  1.329e-06
5.0200  1.765e-08  1.317e-06
5.0250  1.760e-08  1.306e-06
5.0300  1.755e-08  1.294e-06
5.0350  1.750e-08  1.283e-06
5.0400  1.745e-08  1.271e-06
5.0450  1.739e-08  1.260e-06
5.0500  1.734e-08  1.249e-06
5.0550  1.729e-08  1.238e-06
5.0600  1.724e-08  1.227e-06
5.0650  1.719e-08  1.217e-06
5.0700  1.714e-08  1.206e-06
5.0750  1.709e-08  1.195e-06
5.0800  1.704e-08  1.185e-06
5.0850  1.699e-08  1.175e-06
5.0892  1.695e-08  1.166e-06
5.0900  1.694e-08  1.164e-06
5.0950  1.689e-08  1.154e-06
5.1000  1.684e-08  1.144e-06
5.1050  1.679e-08  1.134e-06
5.1100  1.674e-08  1.124e-06
5.1150  1.669e-08  1.115e-06
5.1200  1.664e-08  1.105e-06
5.1250  1.659e-08  1.095e-06
5.1300  1.655e-08  1.086e-06
5.1350  1.650e-08  1.076e-06
5.1400  1.645e-08  1.067e-06
5.1450  1.640e-08  1.058e-06
5.1500  1.635e-08  1.049e-06
5.1550  1.631e-08  1.040e-06
5.1600  1.626e-08  1.031e-06
5.1650  1.621e-08  1.022e-06
5.1700  1.617e-08  1.013e-06
5.1750  1.612e-08  1.004e-06
5.1776  1.610e-08  1.000e-06
5.1800  1.607e-08  9.956e-07
5.1850  1.603e-08  9.864e-07
5.1872  1.601e-08  9.825e-07
5.1900  1.598e-08  9.774e-07
5.1950  1.593e-08  9.685e-07
5.2000  1.589e-08  9.596e-07
5.2050  1.584e-08  9.509e-07
5.2100  1.580e-08  9.422e-07
5.2150  1.575e-08  9.336e-07
5.2200  1.571e-08  9.252e-07
