# FASER2 HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# FASER2 and FLArE contours overlap closely; vector paths give two
# independent extractions and reveal whether/where they differ.
# mass_GeV  u2_min  u2_max
1.6820  1.925e-08  2.317e-03
1.6832  1.930e-08  2.306e-03
1.6840  1.933e-08  2.298e-03
1.6860  1.941e-08  2.279e-03
1.6880  1.948e-08  2.260e-03
1.6900  1.956e-08  2.241e-03
1.6920  1.964e-08  2.223e-03
1.6940  1.972e-08  2.204e-03
1.6960  1.980e-08  2.186e-03
1.6980  1.987e-08  2.168e-03
1.7000  1.995e-08  2.150e-03
1.7020  2.003e-08  2.133e-03
1.7040  2.011e-08  2.115e-03
1.7060  2.019e-08  2.098e-03
1.7080  2.027e-08  2.080e-03
1.7100  2.035e-08  2.063e-03
1.7120  2.043e-08  2.047e-03
1.7140  2.051e-08  2.030e-03
1.7156  2.057e-08  2.017e-03
1.7160  2.059e-08  2.013e-03
1.7180  2.067e-08  1.997e-03
1.7200  2.075e-08  1.981e-03
1.7220  2.083e-08  1.965e-03
1.7240  2.091e-08  1.949e-03
1.7260  2.099e-08  1.933e-03
1.7280  2.108e-08  1.917e-03
1.7300  2.116e-08  1.902e-03
1.7320  2.124e-08  1.886e-03
1.7340  2.132e-08  1.871e-03
1.7360  2.141e-08  1.856e-03
1.7380  2.149e-08  1.841e-03
1.7400  2.157e-08  1.826e-03
1.7420  2.165e-08  1.811e-03
1.7440  2.174e-08  1.797e-03
1.7460  2.182e-08  1.783e-03
1.7480  2.191e-08  1.768e-03
1.7487  2.193e-08  1.764e-03
1.7500  2.199e-08  1.754e-03
1.7520  2.207e-08  1.740e-03
1.7540  2.216e-08  1.726e-03
1.7560  2.224e-08  1.712e-03
1.7580  2.233e-08  1.699e-03
1.7600  2.241e-08  1.685e-03
1.7620  2.250e-08  1.672e-03
1.7640  2.259e-08  1.659e-03
1.7660  2.267e-08  1.646e-03
1.7680  2.276e-08  1.632e-03
1.7700  2.284e-08  1.620e-03
1.7720  2.293e-08  1.607e-03
1.7740  2.302e-08  1.594e-03
1.7755  2.308e-08  1.585e-03
1.7760  2.310e-08  1.582e-03
1.7780  2.319e-08  1.569e-03
1.7783  2.320e-08  1.568e-03
1.7800  2.348e-08  1.547e-03
1.7820  2.382e-08  1.523e-03
1.7823  2.387e-08  1.519e-03
1.7840  2.415e-08  1.499e-03
1.7860  2.449e-08  1.476e-03
1.7880  2.483e-08  1.453e-03
1.7896  2.512e-08  1.435e-03
1.7900  2.519e-08  1.431e-03
1.7920  2.559e-08  1.409e-03
1.7940  2.599e-08  1.387e-03
1.7960  2.640e-08  1.366e-03
1.7980  2.681e-08  1.345e-03
1.8000  2.723e-08  1.325e-03
1.8020  2.766e-08  1.304e-03
