# CODEX-b HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# mass_GeV  u2_min  u2_max
1.3388  1.640e-08  2.462e-03
1.3646  1.599e-08  2.125e-03
1.3909  1.560e-08  1.835e-03
1.4177  1.521e-08  1.584e-03
1.4450  1.484e-08  1.368e-03
1.4728  1.448e-08  1.181e-03
1.5000  1.413e-08  1.026e-03
1.5011  1.415e-08  1.018e-03
1.5301  1.445e-08  8.372e-04
1.5595  1.475e-08  6.887e-04
1.5896  1.507e-08  5.665e-04
1.6000  1.518e-08  5.298e-04
1.6020  1.520e-08  5.230e-04
1.6040  1.522e-08  5.164e-04
1.6060  1.524e-08  5.098e-04
1.6080  1.526e-08  5.034e-04
1.6100  1.528e-08  4.970e-04
1.6120  1.530e-08  4.907e-04
1.6140  1.533e-08  4.846e-04
1.6160  1.535e-08  4.784e-04
1.6180  1.537e-08  4.724e-04
1.6200  1.539e-08  4.665e-04
1.6202  1.539e-08  4.660e-04
1.6220  1.541e-08  4.606e-04
1.6240  1.543e-08  4.549e-04
1.6260  1.545e-08  4.492e-04
1.6280  1.547e-08  4.435e-04
1.6300  1.549e-08  4.380e-04
1.6320  1.552e-08  4.325e-04
1.6340  1.554e-08  4.271e-04
1.6360  1.556e-08  4.218e-04
1.6380  1.558e-08  4.166e-04
1.6400  1.560e-08  4.114e-04
1.6420  1.562e-08  4.063e-04
1.6440  1.564e-08  4.013e-04
1.6460  1.566e-08  3.963e-04
1.6480  1.568e-08  3.914e-04
1.6500  1.570e-08  3.866e-04
1.6514  1.572e-08  3.833e-04
1.6520  1.573e-08  3.818e-04
1.6540  1.575e-08  3.771e-04
1.6560  1.577e-08  3.725e-04
1.6580  1.579e-08  3.679e-04
1.6600  1.581e-08  3.634e-04
1.6620  1.583e-08  3.589e-04
1.6640  1.585e-08  3.545e-04
1.6660  1.587e-08  3.502e-04
1.6680  1.589e-08  3.459e-04
1.6700  1.592e-08  3.417e-04
1.6720  1.594e-08  3.376e-04
1.6740  1.596e-08  3.334e-04
1.6760  1.598e-08  3.294e-04
1.6780  1.600e-08  3.254e-04
1.6800  1.602e-08  3.215e-04
1.6820  1.604e-08  3.176e-04
1.6832  1.605e-08  3.153e-04
1.6840  1.606e-08  3.137e-04
1.6860  1.608e-08  3.099e-04
1.6880  1.610e-08  3.062e-04
1.6900  1.613e-08  3.025e-04
1.6920  1.615e-08  2.989e-04
1.6940  1.617e-08  2.953e-04
1.6960  1.619e-08  2.917e-04
1.6980  1.621e-08  2.882e-04
1.7000  1.623e-08  2.848e-04
1.7020  1.625e-08  2.814e-04
1.7040  1.627e-08  2.780e-04
1.7060  1.629e-08  2.747e-04
1.7080  1.632e-08  2.714e-04
1.7100  1.634e-08  2.682e-04
1.7120  1.636e-08  2.650e-04
1.7140  1.638e-08  2.618e-04
1.7156  1.640e-08  2.593e-04
1.7160  1.640e-08  2.587e-04
1.7180  1.642e-08  2.557e-04
1.7200  1.644e-08  2.526e-04
1.7220  1.646e-08  2.496e-04
1.7240  1.649e-08  2.467e-04
1.7260  1.651e-08  2.438e-04
1.7280  1.653e-08  2.409e-04
1.7300  1.655e-08  2.381e-04
1.7320  1.657e-08  2.353e-04
1.7340  1.659e-08  2.325e-04
1.7360  1.661e-08  2.298e-04
1.7380  1.663e-08  2.271e-04
1.7400  1.665e-08  2.244e-04
1.7420  1.668e-08  2.218e-04
1.7440  1.670e-08  2.192e-04
1.7460  1.672e-08  2.167e-04
1.7480  1.674e-08  2.141e-04
1.7487  1.675e-08  2.133e-04
1.7500  1.676e-08  2.116e-04
1.7520  1.678e-08  2.092e-04
1.7540  1.680e-08  2.067e-04
1.7560  1.682e-08  2.043e-04
1.7580  1.684e-08  2.020e-04
1.7600  1.687e-08  1.996e-04
1.7620  1.689e-08  1.973e-04
1.7640  1.691e-08  1.951e-04
1.7660  1.693e-08  1.928e-04
1.7680  1.695e-08  1.906e-04
1.7700  1.697e-08  1.884e-04
1.7720  1.699e-08  1.862e-04
1.7740  1.701e-08  1.841e-04
1.7760  1.704e-08  1.820e-04
1.7780  1.706e-08  1.799e-04
1.7800  1.708e-08  1.778e-04
1.7820  1.710e-08  1.758e-04
1.7823  1.710e-08  1.755e-04
1.7840  1.712e-08  1.738e-04
1.7860  1.714e-08  1.718e-04
1.7880  1.716e-08  1.698e-04
1.7900  1.718e-08  1.679e-04
1.7920  1.721e-08  1.660e-04
1.7940  1.723e-08  1.641e-04
1.7960  1.725e-08  1.623e-04
1.7980  1.727e-08  1.604e-04
1.8000  1.729e-08  1.586e-04
1.8000  1.729e-08  1.586e-04
1.8020  1.740e-08  1.582e-04
1.8040  1.750e-08  1.579e-04
1.8060  1.761e-08  1.575e-04
1.8080  1.772e-08  1.572e-04
1.8100  1.782e-08  1.568e-04
1.8120  1.793e-08  1.564e-04
1.8140  1.804e-08  1.561e-04
1.8160  1.815e-08  1.557e-04
1.8167  1.818e-08  1.556e-04
1.8180  1.826e-08  1.554e-04
1.8200  1.837e-08  1.550e-04
1.8220  1.848e-08  1.547e-04
1.8240  1.859e-08  1.543e-04
1.8260  1.870e-08  1.540e-04
1.8280  1.881e-08  1.536e-04
1.8300  1.893e-08  1.533e-04
1.8320  1.904e-08  1.529e-04
1.8340  1.915e-08  1.526e-04
1.8360  1.927e-08  1.523e-04
1.8380  1.938e-08  1.519e-04
